City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
189,Sorong,ID,78.37,-0.8833,131.25,overcast clouds,waigo splash hotel
192,Bria,CF,74.55,6.5423,21.9863,light rain,
193,Asau,RO,74.75,46.4333,26.4,broken clouds,Casa Mika Ciobanus
195,Kings Mountain,US,79.72,35.2451,-81.3412,clear sky,"Holiday Inn Express & Suites Kings Mountain - Shelby Area, an IHG Hotel"
198,Namatanai,PG,79.16,-3.6667,152.4333,overcast clouds,Seagulls Inn Namatani
201,Presidente Franco,PY,81.12,-25.5333,-54.6167,clear sky,Hotel Dan Inn Express Foz do Iguaçu
202,Faya,SA,75.72,18.3851,42.4509,broken clouds,املاك خالد الشعشوع
203,Pekalongan,ID,79.99,-6.8886,109.6753,overcast clouds,Namira Syariah Hotel
204,Sabancuy,MX,78.76,18.9667,-91.1833,overcast clouds,Casa Chakchel
207,Cap Malheureux,MU,71.47,-19.9842,57.6142,light rain,Pereybere Hotel & Spa
210,Miri,MY,79.25,4.4148,114.0089,light rain,"Mega Hotel, Miri"
211,Kralendijk,BQ,82.6,12.15,-68.2667,overcast clouds,Divi Flamingo Beach Resort & Casino
212,Nouadhibou,MR,76.69,20.931,-17.0347,overcast clouds,El Medina
213,Faanui,PF,77.5,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
215,Dingle,PH,76.57,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
217,Brookhaven,US,80.8,31.5791,-90.4407,clear sky,Americas Best Value Inn Brookhaven
221,Bambous Virieux,MU,71.22,-20.3428,57.7575,clear sky,Casa Tia Villa
226,Lasa,IT,76.91,46.6166,10.7002,overcast clouds,Pension Feldgärtenhof
228,Da Nang,VN,78.78,16.0678,108.2208,overcast clouds,Sun River Hotel
230,Vung Tau,VN,79.3,10.346,107.0843,overcast clouds,Green hotel
233,Aljezur,PT,75.7,37.3191,-8.8033,clear sky,Amazigh Hostel
234,Sulangan,PH,83.37,11.1373,123.7228,overcast clouds,Maia's Beach Resort
237,Kudahuvadhoo,MV,83.82,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
238,Tayoltita,MX,80.01,24.0833,-105.9333,clear sky,Hotel Rivera Tayoltita
240,Veracruz,MX,80.87,19.3333,-96.6667,broken clouds,El Carrizal
242,Sao Joao Da Barra,BR,78.89,-21.6403,-41.0511,moderate rain,Pousada Porto De Canoas
243,Arraial Do Cabo,BR,75.06,-22.9661,-42.0278,broken clouds,Pousada Porto Praia
247,Matara,LK,79.0,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
248,Solonytsivka,UA,72.01,49.9968,36.0346,clear sky,Hotel Complex Kupava
251,Port Blair,IN,81.36,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
252,Charleston,US,83.01,32.7766,-79.9309,clear sky,The Mills House Wyndham Grand Hotel
256,Uige,AO,72.27,-7.6087,15.0613,overcast clouds,Hotel Catraio
257,Broome,US,73.62,42.2506,-75.833,overcast clouds,Chenango Valley State Park
258,Guerrero Negro,MX,77.58,27.9769,-114.0611,overcast clouds,"Casa Laguna, Bed & Breakfast"
259,Almaznyy,RU,73.54,48.0448,40.045,clear sky,
264,Rock Hill,US,81.75,34.9249,-81.0251,clear sky,DDCSVC
275,Tigzirt,DZ,79.86,36.8886,4.1198,scattered clouds,Bloc D tazoumbirt (amar)
276,Forestville,US,79.38,38.8451,-76.875,clear sky,Quality Inn Near Joint Base Andrews-Washington Area
282,Pringsewu,ID,74.61,-5.3582,104.9744,overcast clouds,Urban Style by Front One
285,Vermilion,US,79.39,40.1667,-87.7506,clear sky,Sparkling Springs Cabin
286,Balaka,MW,75.94,-14.9793,34.9558,clear sky,Sun Village Lodge
288,Komsomolskiy,UZ,74.12,40.4272,71.7189,overcast clouds,Ikathouse
290,Nakhon Phanom,TH,75.76,17.3333,104.4167,moderate rain,ป่ายางรีสอร์ท
292,Zhangye,CN,74.62,38.9342,100.4517,scattered clouds,Zhangye Lvzhou Holiday Inn
295,Soyaux,FR,75.18,45.65,0.2,broken clouds,Mercure Angoulême - Hôtel de France
296,Port Victoria,KE,72.34,0.0939,33.9756,scattered clouds,Homepark motel
300,Benguela,AO,73.87,-12.5763,13.4055,scattered clouds,Hotel Praia Morena
302,Dong Hoi,VN,78.8,17.4833,106.6,heavy intensity rain,Nam Long Hotel
303,Astakos,GR,76.98,38.5356,21.0814,overcast clouds,Stratos S.A.
309,Yei,SS,70.5,4.095,30.6779,light rain,City Link Hotel
311,Zhongxing,CN,71.67,33.7039,118.6792,light rain,New Century Grand Hotel Siyang
312,Laguna,US,80.42,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
313,Saint Anthony,US,76.14,45.0205,-93.218,clear sky,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
315,Katsuura,JP,77.11,35.1333,140.3,overcast clouds,Katsuura Hotel Mikazuki
316,Russellville,US,82.18,35.2784,-93.1338,clear sky,Hampton Inn Russellville
317,Manokwari,ID,78.39,-0.8667,134.0833,broken clouds,Swiss Belhotel Manokwari
319,Anakapalle,IN,78.75,17.6833,83.0167,overcast clouds,Satya Lodge
320,Kisaran,ID,75.61,2.9845,99.6158,overcast clouds,Penginapan Batubara1
328,Hohhot,CN,72.07,40.8106,111.6522,broken clouds,Sheraton Hohhot Hotel
329,Cabedelo,BR,84.87,-6.9811,-34.8339,broken clouds,Hotel Pigalle
330,Panalingaan,PH,79.41,8.7842,117.4231,overcast clouds,I Love Panalingaan View Deck
332,San Quintin,MX,76.01,30.4833,-115.95,clear sky,Don Eddie's Sport Fishing Center
333,Kawalu,ID,72.25,-7.3817,108.2082,overcast clouds,KOSAN UNGU UNSIK
334,Kavaratti,IN,81.77,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
339,Mayo,US,80.26,38.8876,-76.5119,few clouds,Resorts Resource Group International
341,Buchanan,LR,82.71,5.8808,-10.0467,broken clouds,Kamaneahn Hotel Inc
342,Seoul,KR,71.04,37.5683,126.9778,clear sky,롯데호텔 서울
343,Kumbhraj,IN,76.24,24.3667,77.05,broken clouds,Shubhodye Nebas
345,Sri Aman,MY,75.07,1.2376,111.4621,overcast clouds,Seri Simanggang Hotel
346,Hanting,CN,73.0,36.7708,119.2108,light rain,Weifang Xinhongda Guesthouse
347,Kisangani,CD,73.58,0.5167,25.2,overcast clouds,Grand Ramela Hotel
348,Didwana,IN,79.09,27.4,74.5667,very heavy rain,Marudhar Hotel Didwana
349,Kotido,UG,79.86,2.9806,34.1331,broken clouds,Loware Joseph Mukasa's Residence
352,Daru,PG,77.77,-9.0763,143.2092,overcast clouds,Daru Lodge
354,Teresopolis,BR,79.05,-22.4122,-42.9656,overcast clouds,Hotel Santiago Centro
358,Camalu,MX,83.43,30.85,-116.0667,clear sky,La Cueva del Pirata
359,Gushikawa,JP,81.99,26.3544,127.8686,overcast clouds,Kirari Guest House
360,Garsten,AT,74.39,47.9987,14.4035,broken clouds,Christkindlwirt
364,Syriam,MM,80.71,16.7722,96.2378,broken clouds,Excel River View
370,Caruray,PH,79.75,10.3094,119.0128,overcast clouds,
378,Acapulco,MX,80.42,16.8634,-99.8901,overcast clouds,HS Hotsson Smart Acapulco
380,Meulaboh,ID,77.65,4.1363,96.1285,overcast clouds,Kost Pria
381,Puerto Ayacucho,VE,84.61,5.6639,-67.6236,overcast clouds,Posada Turistica Manapiare
382,Valadares,PT,75.54,41.1474,-7.9812,overcast clouds,Douro Palace Hotel Resort & Spa
385,Katobu,ID,73.81,-4.9408,122.5276,overcast clouds,La Ode Husein
388,Samana,DO,84.16,19.2056,-69.3369,scattered clouds,The Bannister - Hotel & Yacht Club
390,Kulevcha,UA,73.49,46.0303,29.9361,overcast clouds,Гостевой дом «Болгарский двор»
392,Neiafu,TO,75.88,-18.65,-173.9833,light rain,Mystic Sands Beachfront Accommodation
393,Salalah,OM,80.69,17.0151,54.0924,broken clouds,HAMDAN PLAZA HOTEL SALALAH
394,Luena,AO,83.64,-11.7833,19.9167,broken clouds,Hotel Kandamba
396,Tura,IN,76.75,25.5198,90.2201,broken clouds,Hotel RIKMAN Continental
399,Hoi An,VN,78.76,15.8794,108.335,overcast clouds,Belle Maison Hadana Hoi An managed by H&K Hospitality
400,Uvira,CD,78.58,-3.4067,29.1458,broken clouds,Hotel Suzana
401,Bobo Dioulasso,BF,84.43,11.1771,-4.2979,light rain,RAN Hotel Somketa
408,Honiara,SB,76.95,-9.4333,159.95,scattered clouds,Heritage Park Hotel
409,Sile,TR,71.56,41.1754,29.6133,few clouds,Phellos Suites
410,Arteaga,MX,71.91,18.4667,-102.4167,broken clouds,
415,Marsh Harbour,BS,84.36,26.5412,-77.0636,few clouds,Abaco Beach Resort
416,Zhicheng,CN,75.61,30.2956,111.5047,light rain,Wangjiang Building
