City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Cockburn Town,TC,21.4612,-71.1419,83.79,75,9,16.73,clear sky
70,Bethel,US,41.3712,-73.414,76.08,61,1,1.99,clear sky
71,Butaritari,KI,3.0707,172.7902,83.1,76,49,19.8,light rain
72,Ribeira Grande,PT,38.5167,-28.7,73.8,68,40,12.66,scattered clouds
73,Sirajganj,BD,24.45,89.7167,85.87,75,100,5.44,overcast clouds
74,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,71,75,17.13,broken clouds
75,Maningrida,AU,-12.0667,134.2667,74.55,86,51,6.67,broken clouds
76,Tarakan,ID,3.3,117.6333,80.94,78,91,7.36,overcast clouds
77,Kurmanayevka,RU,52.5093,52.0675,52.56,55,24,4.72,few clouds
78,Lagos,NG,6.5833,3.75,78.24,84,89,4.12,overcast clouds
79,Kahului,US,20.8947,-156.47,74.46,81,20,4.61,few clouds
80,Thompson,CA,55.7435,-97.8558,47.71,64,97,15.75,overcast clouds
81,Awbari,LY,26.5921,12.7805,100.06,12,0,7.38,clear sky
82,Hithadhoo,MV,-0.6,73.0833,83.39,69,79,7.0,broken clouds
83,Los Alamos,US,35.8881,-106.307,76.14,28,1,1.01,clear sky
84,Tuktoyaktuk,CA,69.4541,-133.0374,42.15,75,79,17.38,broken clouds
85,Coahuayana,MX,18.7333,-103.6833,85.48,69,100,1.54,overcast clouds
86,Port Elizabeth,ZA,-33.918,25.5701,64.09,78,66,9.57,broken clouds
87,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,71,96,23.29,overcast clouds
88,Vila Velha,BR,-20.3297,-40.2925,89.55,45,0,12.66,clear sky
89,Saint-Pierre,RE,-21.3393,55.4781,69.48,87,75,24.16,light rain
90,Esperance,AU,-33.8667,121.9,52.79,74,99,10.71,overcast clouds
91,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,58,75,8.05,light rain
92,Hushitai,CN,41.9322,123.5114,57.11,72,0,4.07,light rain
93,Starodzhereliyevskaya,RU,45.476,38.2968,65.28,67,100,9.26,light rain
94,Sakaiminato,JP,35.55,133.2333,73.33,86,39,5.23,scattered clouds
95,Doha,QA,25.2867,51.5333,97.11,70,0,10.36,clear sky
96,Yellowknife,CA,62.456,-114.3525,43.75,71,100,17.63,overcast clouds
97,Isangel,VU,-19.55,169.2667,68.47,73,15,10.38,few clouds
98,Cravo Norte,CO,6.3017,-70.2041,78.85,82,98,5.44,overcast clouds
99,Alofi,NU,-19.0595,-169.9187,76.53,80,100,13.85,moderate rain
100,Ligatne,LV,57.2343,25.0406,66.25,77,67,0.29,broken clouds
101,Yar-Sale,RU,66.8333,70.8333,42.8,83,100,10.13,overcast clouds
102,Ouallam,NE,14.3188,2.0866,99.03,33,54,2.21,broken clouds
103,Coshocton,US,40.272,-81.8596,75.51,52,39,10.96,scattered clouds
104,Raudeberg,NO,61.9875,5.1352,58.19,93,99,1.01,overcast clouds
105,Hobart,AU,-42.8794,147.3294,46.26,78,75,4.0,broken clouds
106,Atuona,PF,-9.8,-139.0333,77.59,76,7,16.26,clear sky
107,Kapaa,US,22.0752,-159.319,75.52,70,20,16.11,light rain
108,Krizevci,HR,46.0219,16.5425,81.28,32,8,3.94,clear sky
109,Clyde River,CA,70.4692,-68.5914,32.79,76,90,17.72,overcast clouds
110,Abu Zabad,SD,12.35,29.25,83.52,60,53,8.7,broken clouds
111,North Platte,US,41.1239,-100.7654,78.69,47,1,10.36,clear sky
112,Qaanaaq,GL,77.484,-69.3632,22.82,68,10,7.67,clear sky
113,Hilo,US,19.7297,-155.09,76.28,84,1,3.44,clear sky
114,Opuwo,NA,-18.0607,13.84,90.1,10,0,15.03,clear sky
115,Sorrento,IT,40.626,14.3744,82.53,73,100,2.24,overcast clouds
116,Margate,GB,51.3813,1.3862,72.7,59,45,11.25,scattered clouds
117,Dikson,RU,73.5069,80.5464,41.43,87,100,13.42,overcast clouds
118,Malanje,AO,-9.5402,16.341,88.36,14,53,6.11,broken clouds
119,Souillac,MU,-20.5167,57.5167,71.37,78,19,17.31,few clouds
120,Necochea,AR,-38.5473,-58.7368,57.04,68,76,14.83,broken clouds
121,San Policarpo,PH,12.1791,125.5072,80.08,86,100,8.39,overcast clouds
122,Tommot,RU,58.9564,126.2925,43.68,89,0,2.75,clear sky
123,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,24,15.86,light rain
124,Lagoa,PT,39.05,-27.9833,68.97,71,99,23.6,overcast clouds
125,Coolum Beach,AU,-26.5333,153.1,57.22,91,14,8.95,few clouds
126,Conde,BR,-7.2597,-34.9075,83.66,58,75,17.27,broken clouds
127,San Ramon,US,37.7799,-121.978,69.4,78,1,5.01,clear sky
128,Taltal,CL,-25.4,-70.4833,59.04,73,44,3.58,scattered clouds
129,Tromso,NO,69.6496,18.957,54.25,71,0,8.05,clear sky
130,Saskylakh,RU,71.9167,114.0833,50.36,68,78,8.43,broken clouds
131,Hermanus,ZA,-34.4187,19.2345,60.8,79,97,14.76,overcast clouds
132,Hasaki,JP,35.7333,140.8333,73.8,91,75,6.08,broken clouds
133,Norman Wells,CA,65.282,-126.8329,50.18,82,100,1.9,overcast clouds
134,Zyryanka,RU,65.75,150.85,32.52,68,63,3.76,broken clouds
135,Teguise,ES,29.0605,-13.564,73.62,83,0,16.11,clear sky
136,Kaitangata,NZ,-46.2817,169.8464,41.5,88,90,5.17,overcast clouds
137,Vyazma,RU,55.2104,34.2951,64.06,66,100,5.44,overcast clouds
138,Tonj,SS,7.2737,28.6822,75.97,84,94,2.95,overcast clouds
139,Mount Gambier,AU,-37.8333,140.7667,50.36,56,92,13.0,overcast clouds
140,Okhotsk,RU,59.3833,143.3,45.91,68,7,2.44,clear sky
