City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
574,Phetchaburi,TH,75.31,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
575,Atlantic City,US,70.02,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
577,Bhigvan,IN,73.67,18.3167,74.7667,Hotel Sagar
578,Gilbues,BR,82.42,-9.8317,-45.3439,Hotel Camapuã
580,Havelock,US,75.2,34.8791,-76.9013,Sherwood Motel
581,Douentza,ML,79.84,14.9951,-2.9517,Ogomono Doumbo
585,Byron Bay,AU,76.05,-28.65,153.6167,Backpackers Inn on the Beach
587,Xuddur,SO,70.34,4.1213,43.8894,Banjanay Hotel
588,Vavoua,CI,70.2,7.3819,-6.4778,Hotel Le Peuple
589,Shaowu,CN,79.12,27.3409,117.4831,Yijie Express Hotel
593,West Wendover,US,83.41,40.7391,-114.0733,"Motel 6 Wendover, UT"
595,Alexandria,EG,77.23,31.2156,29.9553,Royal Crown Hotel
596,Sulya,IN,77.04,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
597,Nhulunbuy,AU,81.21,-12.2333,136.7667,East Arnhem Real Estate
599,Pochutla,MX,82.81,15.7432,-96.4661,Hotel Posada San Jose
600,Nieuw Amsterdam,SR,82.42,5.8833,-55.0833,Globe Hotel
604,Padang,ID,76.3,-0.9492,100.3543,Mercure Padang
607,Balilihan,PH,83.08,9.7561,123.973,Blue House，bohol
609,Sibu,MY,77.31,2.3,111.8167,RH HOTEL (4 Star)
611,Galesong,ID,78.82,-5.3166,119.3661,Sapriadi Appy
613,Lakatoro,VU,79.29,-16.0999,167.4164,Lakatoro Palm Lodge
614,Piacabucu,BR,75.81,-10.4056,-36.4344,Piaçabuçu News
616,Mount Vernon,US,71.24,40.9126,-73.8371,Ramada by Wyndham Bronx
620,Tonekabon,IR,71.55,36.8163,50.8738,Hotel Sadra
621,Ati,TD,80.15,13.2154,18.3353,
624,Grand Forks,US,80.58,47.9417,-97.4337,Warrior Inn
626,Santa Rosa,PH,78.78,14.3122,121.1114,Erlyn’s Sta Rosa City Home
629,Conde,BR,74.66,-7.2597,-34.9075,Pousada Beija Flor
635,Hadejia,NG,81.41,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
637,Olinda,BR,76.73,-8.0089,-34.8553,Hotel Albergue de Olinda
638,Aripuana,BR,75.6,-9.1667,-60.6333,
640,Chilliwack,CA,73.44,49.1747,-121.9443,Coast Chilliwack Hotel by APA
642,Kavaratti,IN,81.91,10.5669,72.642,Hotels in Lakshadweep Islands
649,Corrente,BR,77.41,-3.7367,-43.3394,Chapadinhense Hotel
650,Eirunepe,BR,71.87,-6.6603,-69.8736,Atrás de você
653,Manali,IN,84.29,13.1667,80.2667,Sarathy Lodge
654,Oranjestad,AW,84.15,12.524,-70.027,Divi Village Golf & Beach Resort
657,Tanabe,JP,83.41,33.7333,135.3667,美吉屋旅館
